HeadX,HeadY,TailX,TailY,Start,End
1696.8,1622.5,1640,1620.6,437,444
1794.1,1035.4,1780.3,1080.9,441,463
1659.6,435.9,1709,412.16,448,483
676.2,1704.2,624.75,1726,450,472
1509.2,348.84,1449.8,334.99,454,492
1170.8,392.37,1139.2,439.86,457,513
1715,1783.3,1659.6,1793.2,458,521
1633.8,1019.6,1570.5,1011.7,463,470
1788.2,999.8,1780.3,1071,463,468
1789,1628.4,1783.1,1577.5,470,506
1753.7,769.87,1700.7,758.1,473,483
937.37,524.94,874.06,515.05,475,477
1614.1,938.47,1572.5,982,475,485
701.92,1731.9,634.64,1733.9,477,0
1749.8,820.83,1730.1,877.68,479,500
1491,1452,1479.2,1405,492,0
1532.2,352.35,1477.3,368.03,493,509
1671.3,383.71,1630.2,417.04,495,539
1736,499.36,1734.1,442.52,495,511
1767.4,1677.4,1765.4,1614.7,506,530
1669.4,1516.7,1606.7,1528.5,507,515
1626.3,1581.4,1567.5,1571.6,513,519
1720.3,1546.1,1698.8,1506.9,515,550
1643.9,942.36,1587.1,930.6,520,531
1622.3,1506.9,1608.6,1561.8,520,533
1739.9,1487.3,1751.7,1428.5,520,524
1665.5,811.03,1626.3,856.11,528,539
934.32,219.06,881.4,222.98,529,0
1751.7,1712.7,1718.4,1663.7,530,0
1632.1,381.75,1567.5,369.99,531,537
1610.6,1483.4,1587.1,1532.4,532,536
1053.9,1726.4,991.17,1748,532,533
1792.9,1618.6,1755.6,1579.4,533,536
1195,397.43,1140.1,407.23,534,0
1702.7,920.8,1741.9,883.56,536,0
1637.7,361.69,1578.2,367.26,539,545
1659.6,1469.6,1600.8,1450,542,0
1293,1777.4,1240.1,1785.2,544,548
1102.9,1697,1046.1,1720.5,544,0
1633.9,322.69,1594.9,369.11,545,0
